transaction_id,user_id,amount,currency,location,merchant,timestamp
txn_000009,u_003,2807.63,USD,US,fintech,2026-02-25T19:39:05
txn_000008,u_004,3882.4,USD,AE,grocery,2026-02-25T19:39:07
txn_000007,u_002,649.69,USD,SG,electronics,2026-02-25T19:39:09
txn_000006,u_004,700.82,USD,IN,fintech,2026-02-25T19:39:11
txn_000005,u_003,279.24,USD,DE,fintech,2026-02-25T19:39:13
txn_000004,u_003,935.56,USD,SG,gaming,2026-02-25T19:39:15
txn_000003,u_001,815.27,USD,SG,travel,2026-02-25T19:39:17
txn_000002,u_002,371.1,USD,IN,travel,2026-02-25T19:39:19
txn_000001,u_004,309.07,USD,US,electronics,2026-02-25T19:39:21
txn_000000,u_002,841.29,USD,AE,grocery,2026-02-25T19:39:23
txn_000010,u_003,164.34,USD,AE,gaming,2026-02-25T19:39:25
txn_000009,u_004,105.52,USD,AE,grocery,2026-02-25T19:39:27
txn_000008,u_003,667.36,USD,US,gaming,2026-02-25T19:39:29
txn_000007,u_003,580.26,USD,AE,travel,2026-02-25T19:39:31
txn_000006,u_002,676.18,USD,AE,electronics,2026-02-25T19:39:33
txn_000005,u_002,164.86,USD,DE,gaming,2026-02-25T19:39:35
txn_000004,u_003,161.63,USD,US,gaming,2026-02-25T19:39:37
txn_000003,u_002,998.75,USD,IN,grocery,2026-02-25T19:39:39
txn_000002,u_002,32.41,USD,SG,electronics,2026-02-25T19:39:41
txn_000001,u_002,431.61,USD,AE,grocery,2026-02-25T19:39:43
txn_000000,u_004,377.75,USD,US,electronics,2026-02-25T19:39:45
txn_000010,u_001,590.28,USD,US,gaming,2026-02-27T12:20:02
txn_000009,u_004,889.95,USD,US,electronics,2026-02-27T12:20:04
txn_000008,u_002,209.67,USD,US,gaming,2026-02-27T12:20:06
txn_000007,u_002,22.01,USD,SG,electronics,2026-02-27T12:20:08
txn_000006,u_003,822.13,USD,US,grocery,2026-02-27T12:20:10
txn_000005,u_002,683.83,USD,US,electronics,2026-02-27T12:20:12
txn_000004,u_004,877.2,USD,SG,electronics,2026-02-27T12:20:14
txn_000003,u_002,501.58,USD,IN,grocery,2026-02-27T12:20:16
txn_000002,u_003,221.74,USD,IN,grocery,2026-02-27T12:20:19
txn_000001,u_003,822.46,USD,AE,electronics,2026-02-27T12:20:21
txn_000000,u_002,136.2,USD,DE,travel,2026-02-27T12:20:23
txn_000010,u_003,2390.71,USD,SG,electronics,2026-03-02T19:51:27
txn_000009,u_004,786.13,USD,AE,grocery,2026-03-02T19:51:29
txn_000008,u_003,746.26,USD,DE,travel,2026-03-02T19:51:31
txn_000007,u_003,2634.08,USD,IN,gaming,2026-03-02T19:51:33
txn_000006,u_003,172.0,USD,DE,fintech,2026-03-02T19:51:35
txn_000005,u_003,751.51,USD,US,grocery,2026-03-02T19:51:37
txn_000004,u_002,919.68,USD,DE,gaming,2026-03-02T19:51:39
txn_000003,u_004,832.81,USD,IN,fintech,2026-03-02T19:51:41
txn_000002,u_001,653.28,USD,SG,travel,2026-03-02T19:51:43
txn_000001,u_001,2738.11,USD,RU,electronics,2026-03-02T19:51:45
txn_000000,u_001,297.78,USD,SG,gaming,2026-03-02T19:51:47
